ID,room_number,subway,address,parking,home_renovation,balcony,windows,additional_amenities,ceiling_height,garbage_chute,total_area,loggia,separate_bathroom,shared_bathroom,building_type,floors_number,apartment_floor,freight_elevator,passenger_elevator,parking_0,parking_1,parking_2,parking_3,parking_4,parking_5,home_renovation_0,home_renovation_1,home_renovation_2,home_renovation_3,windows_0,windows_1,windows_2,windows_3,additional_amenities_0,additional_amenities_1,garbage_chute_0,garbage_chute_1,building_type_0,building_type_1,building_type_2,building_type_3,building_type_4,building_type_5,building_type_6,building_type_7,building_type_8,building_type_9,price
271271157,4,313196.9696969697,331489.3617021277,5,1,0,3,1,3.0,0,200.0,0,0,1,4,16,5,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,500000
271634126,4,313196.9696969697,331489.3617021277,5,1,0,2,1,3.5,1,198.0,0,1,2,3,16,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,500000
271173086,4,313196.9696969697,331489.3617021277,5,2,0,2,1,3.2,1,200.0,0,0,3,5,16,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,500000
272197456,4,313196.9696969697,397500.0,5,2,0,2,1,3.2,1,170.0,0,0,3,5,6,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,400000
273614615,2,340903.6144578313,331489.3617021277,0,2,0,2,1,3.9,0,58.0,0,0,2,6,26,12,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,225000
274837728,3,313196.9696969697,431562.5,0,1,0,3,1,2.76,1,92.0,0,0,1,5,7,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,470000
273643908,5,340903.6144578313,523333.3333333333,3,2,0,2,1,3.2,1,213.0,0,0,2,5,5,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,350000
274475342,3,313196.9696969697,254347.8260869565,5,2,0,0,1,3.2,1,98.0,0,1,1,4,4,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,250000
273973191,3,313196.9696969697,206500.0,4,2,0,1,1,3.0,1,120.0,0,0,1,7,10,5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,130000
272900409,4,340903.6144578313,254347.8260869565,4,2,1,2,1,3.1,0,90.0,0,1,1,7,7,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,210000
271036964,4,313196.9696969697,290000.0,5,2,0,2,1,3.2,1,170.0,0,0,3,5,7,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,290000
273999490,3,313196.9696969697,206500.0,0,2,3,2,1,2.76,1,80.0,0,0,1,2,8,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,100000
274017037,3,313196.9696969697,368333.3333333333,0,1,0,0,1,2.76,1,100.0,0,0,2,2,4,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,200000
273231024,5,313196.9696969697,433333.3333333333,0,1,0,1,1,2.76,1,180.0,1,1,2,4,8,6,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,500000
